'2013-12','2013-12-01',"-0.0162,",-0.0162
'2014-01','2014-01-01',"-0.0393,",-0.0393
'2014-02','2014-02-01',"-0.023,",-0.0230
'2014-03','2014-03-01',"-0.0091,",-0.0091
'2014-04','2014-04-01',"-0.0296,",-0.0296
'2014-05','2014-05-01',"-0.0086,",-0.0086
'2014-06','2014-06-01',"0.0004,",0.0004
'2014-07','2014-07-01',"-0.0143,",-0.0143
'2014-08','2014-08-01',"-0.0104,",-0.0104
'2014-09','2014-09-01',"-0.0174,",-0.0174
'2014-10','2014-10-01',"-0.0543,",-0.0543
'2014-11','2014-11-01',"-0.0027,",-0.0027
'2014-12','2014-12-01',"-0.045,",-0.0450
'2015-01','2015-01-01',"-0.0312,",-0.0312
yrmo,,#VALUE!,DrawDown
